name,gt,pred
@551740.5810034211@4184422.0100342026@37.80571747@-122.41223145@_1.jpg,"(37.80571747, -122.41223145)","(37.805827, -122.411854)"
@551745.7289906496@4182320.998184104@37.78678131@-122.412323@.jpg,"(37.78678131, -122.412323)","(37.786825, -122.412341)"
@551765.8690494469@4182323.2406775155@37.78680038@-122.41209412@.jpg,"(37.78680038, -122.41209412)","(37.786865, -122.41203)"
@551759.103661099@4182330.8173486986@37.78686905@-122.41217041@.jpg,"(37.78686905, -122.41217041)","(37.786944, -122.411406)"
@551797.5074885085@4182419.9429417313@37.78767014@-122.41172791@.jpg,"(37.78767014, -122.41172791)","(37.78785, -122.411702)"
@551748.9324027254@4182238.906888421@37.78604126@-122.41229248@.jpg,"(37.78604126, -122.41229248)","(37.785908, -122.412271)"
@551795.8408162501@4182257.825458092@37.78620911@-122.41175842@.jpg,"(37.78620911, -122.41175842)","(37.785982, -122.411692)"
@551786.0455589143@4182426.64235666@37.78773117@-122.4118576@.jpg,"(37.78773117, -122.4118576)","(37.78788, -122.411755)"
@551778.580912689@4182438.44639644@37.78783798@-122.41194153@.jpg,"(37.78783798, -122.41194153)","(37.787837, -122.412108)"
@551729.206141852@4184415.165863014@37.80565643@-122.41236115@.jpg,"(37.80565643, -122.41236115)","(37.805767, -122.412396)"
@551740.5810034211@4184422.0100342026@37.80571747@-122.41223145@.jpg,"(37.80571747, -122.41223145)","(37.805746, -122.411959)"
@551810.1636562262@4183291.082539168@37.79552078@-122.41152191@.jpg,"(37.79552078, -122.41152191)","(37.795417, -122.411465)"
@551806.779233217@4182334.503513802@37.78689957@-122.41162872@.jpg,"(37.78689957, -122.41162872)","(37.786918, -122.411631)"
@551805.456019845@4183291.8994870675@37.79552841@-122.41157532@.jpg,"(37.79552841, -122.41157532)","(37.795432, -122.41142)"
@551814.2066450303@4183288.99209515@37.79550171@-122.41147614@.jpg,"(37.79550171, -122.41147614)","(37.795423, -122.411419)"
@551828.8601540982@4182348.6093634237@37.78702545@-122.41137695@.jpg,"(37.78702545, -122.41137695)","(37.78701, -122.411198)"
@551830.6594263111@4182276.2443397637@37.78637314@-122.41136169@.jpg,"(37.78637314, -122.41136169)","(37.786032, -122.41129)"
@551849.0822217355@4183191.016245115@37.7946167@-122.41108704@.jpg,"(37.7946167, -122.41108704)","(37.794541, -122.411199)"
@551849.7913166824@4183185.09465486@37.79456329@-122.41107941@.jpg,"(37.79456329, -122.41107941)","(37.794541, -122.411199)"
@551859.8979092357@4182433.8798472416@37.78779221@-122.41101837@.jpg,"(37.78779221, -122.41101837)","(37.787988, -122.411)"
@551861.263555319@4183283.362402887@37.7954483@-122.41094208@.jpg,"(37.7954483, -122.41094208)","(37.795481, -122.410982)"
@551857.9335762548@4183492.007266439@37.79732895@-122.41096497@.jpg,"(37.79732895, -122.41096497)","(37.797273, -122.411096)"
@551817.5570411795@4182329.914602309@37.7868576@-122.41150665@.jpg,"(37.7868576, -122.41150665)","(37.786954, -122.411316)"
@551867.8949769775@4182444.0880584107@37.78788376@-122.41092682@.jpg,"(37.78788376, -122.41092682)","(37.788011, -122.410822)"
@551865.8688942416@4182339.107319804@37.78693771@-122.41095734@.jpg,"(37.78693771, -122.41095734)","(37.787044, -122.410848)"
@551878.4702177513@4182365.005692401@37.78717041@-122.41081238@.jpg,"(37.78717041, -122.41081238)","(37.78708, -122.410352)"
@551893.958868097@4182359.177252353@37.787117@-122.4106369@.jpg,"(37.787117, -122.4106369)","(37.787066, -122.410577)"
@551879.1687228009@4182360.777201049@37.78713226@-122.41080475@.jpg,"(37.78713226, -122.41080475)","(37.787041, -122.410657)"
@551880.0665904713@4183284.3274797103@37.79545593@-122.41072845@.jpg,"(37.79545593, -122.41072845)","(37.796751, -122.423255)"
@551880.8640900616@4184649.3356206296@37.80775833@-122.41062164@.jpg,"(37.80775833, -122.41062164)","(37.807876, -122.41069)"
@551911.5492819495@4183511.3916559196@37.79750061@-122.41035461@.jpg,"(37.79750061, -122.41035461)","(37.79743, -122.410398)"
@551904.6486331405@4182368.5570009286@37.78720093@-122.41051483@.jpg,"(37.78720093, -122.41051483)","(37.78711, -122.410075)"
@551895.0668049628@4184527.103602328@37.80665588@-122.41046906@.jpg,"(37.80665588, -122.41046906)","(37.806932, -122.410508)"
@551916.3503998427@4183389.100556543@37.79639816@-122.41030884@.jpg,"(37.79639816, -122.41030884)","(37.796507, -122.410205)"
@552045.7738308726@4182680.1180020184@37.79000092@-122.40888977@_1.jpg,"(37.79000092, -122.40888977)","(37.79011, -122.409179)"
@551919.3640399324@4182378.8076180653@37.78729248@-122.41034698@.jpg,"(37.78729248, -122.41034698)","(37.787077, -122.410396)"
@551923.5143968478@4182679.345979054@37.79000092@-122.41027832@.jpg,"(37.79000092, -122.41027832)","(37.792624, -122.426169)"
@551919.6728187472@4183288.3862739275@37.79549026@-122.41027832@.jpg,"(37.79549026, -122.41027832)","(37.795569, -122.410312)"
@551919.0347278729@4183389.5413338924@37.79640198@-122.41027832@.jpg,"(37.79640198, -122.41027832)","(37.796498, -122.410292)"
@551920.1836875129@4182461.7708413173@37.78804016@-122.41033173@.jpg,"(37.78804016, -122.41033173)","(37.787984, -122.410059)"
@551923.5143968478@4182679.345979054@37.79000092@-122.41027832@_2.jpg,"(37.79000092, -122.41027832)","(37.789959, -122.410381)"
@551923.5143968478@4182679.345979054@37.79000092@-122.41027832@_4.jpg,"(37.79000092, -122.41027832)","(37.789957, -122.410345)"
@551923.5143968478@4182679.345979054@37.79000092@-122.41027832@_1.jpg,"(37.79000092, -122.41027832)","(37.789917, -122.410452)"
@551923.5143968478@4182679.345979054@37.79000092@-122.41027832@_3.jpg,"(37.79000092, -122.41027832)","(37.789987, -122.410476)"
@551923.5143968478@4182679.345979054@37.79000092@-122.41027832@_6.jpg,"(37.79000092, -122.41027832)","(37.790008, -122.409979)"
@551923.5143968478@4182679.345979054@37.79000092@-122.41027832@_8.jpg,"(37.79000092, -122.41027832)","(37.78998, -122.410201)"
@551923.5143968478@4182679.345979054@37.79000092@-122.41027832@_5.jpg,"(37.79000092, -122.41027832)","(37.789986, -122.410156)"
@551924.2938737045@4182555.7592441565@37.78888702@-122.41027832@_1.jpg,"(37.78888702, -122.41027832)","(37.788949, -122.410282)"
@551924.2938737045@4182555.7592441565@37.78888702@-122.41027832@.jpg,"(37.78888702, -122.41027832)","(37.793232, -122.414461)"
@551924.2938737045@4182555.7592441565@37.78888702@-122.41027832@_2.jpg,"(37.78888702, -122.41027832)","(37.789163, -122.410325)"
@551924.2938737045@4182555.7592441565@37.78888702@-122.41027832@_4.jpg,"(37.78888702, -122.41027832)","(37.78901, -122.410308)"
@551923.5143968478@4182679.345979054@37.79000092@-122.41027832@_7.jpg,"(37.79000092, -122.41027832)","(37.790014, -122.409757)"
@551924.2938737045@4182555.7592441565@37.78888702@-122.41027832@_3.jpg,"(37.78888702, -122.41027832)","(37.789027, -122.410174)"
@551924.2938737045@4182555.7592441565@37.78888702@-122.41027832@_5.jpg,"(37.78888702, -122.41027832)","(37.788634, -122.410214)"
@551924.486063262@4182525.286946131@37.78861237@-122.41027832@.jpg,"(37.78861237, -122.41027832)","(37.788634, -122.410214)"
@551924.2938737045@4182555.7592441565@37.78888702@-122.41027832@_7.jpg,"(37.78888702, -122.41027832)","(37.789003, -122.410354)"
@551924.2938737045@4182555.7592441565@37.78888702@-122.41027832@_6.jpg,"(37.78888702, -122.41027832)","(37.788997, -122.410396)"
@551924.6809316847@4182494.3897127076@37.78833389@-122.41027832@.jpg,"(37.78833389, -122.41027832)","(37.788319, -122.410152)"
@551928.352382129@4182444.891894624@37.78788757@-122.41024017@.jpg,"(37.78788757, -122.41024017)","(37.785119, -122.422036)"
@551947.6977358003@4182679.498543805@37.79000092@-122.41000366@_1.jpg,"(37.79000092, -122.41000366)","(37.790027, -122.409623)"
@551947.6977358003@4182679.498543805@37.79000092@-122.41000366@.jpg,"(37.79000092, -122.41000366)","(37.789991, -122.410112)"
@551949.0597649567@4182463.6461523017@37.78805542@-122.41000366@.jpg,"(37.78805542, -122.41000366)","(37.788198, -122.410104)"
@551948.4775757301@4182555.911807373@37.78888702@-122.41000366@.jpg,"(37.78888702, -122.41000366)","(37.789079, -122.40977)"
@551949.0597649567@4182463.6461523017@37.78805542@-122.41000366@_2.jpg,"(37.78805542, -122.41000366)","(37.788158, -122.409662)"
@551957.0727211232@4182471.3148166733@37.78812408@-122.40991211@.jpg,"(37.78812408, -122.40991211)","(37.788136, -122.409838)"
@551956.3821940471@4182474.2740395325@37.78815079@-122.40991974@.jpg,"(37.78815079, -122.40991974)","(37.788055, -122.410074)"
@551960.4464920462@4182362.5601697215@37.78714371@-122.40988159@.jpg,"(37.78714371, -122.40988159)","(37.787204, -122.409325)"
@551963.3026015495@4183399.978550592@37.79649353@-122.40977478@.jpg,"(37.79649353, -122.40977478)","(37.796545, -122.409785)"
@551964.5568741945@4183307.7170174937@37.79566193@-122.40976715@.jpg,"(37.79566193, -122.40976715)","(37.795618, -122.409826)"
@551949.0597649567@4182463.6461523017@37.78805542@-122.41000366@_1.jpg,"(37.78805542, -122.41000366)","(37.788136, -122.409838)"
@551972.7479420211@4182648.758179386@37.78972244@-122.40972137@.jpg,"(37.78972244, -122.40972137)","(37.79006, -122.409576)"
@551948.4775757301@4182555.911807373@37.78888702@-122.41000366@_1.jpg,"(37.78888702, -122.41000366)","(37.788986, -122.410289)"
@551973.333096488@4182556.068682799@37.78888702@-122.40972137@.jpg,"(37.78888702, -122.40972137)","(37.787368, -122.411608)"
@551972.552883399@4182679.655420808@37.79000092@-122.40972137@.jpg,"(37.79000092, -122.40972137)","(37.790077, -122.409444)"
@551973.333096488@4182556.068682799@37.78888702@-122.40972137@_1.jpg,"(37.78888702, -122.40972137)","(37.789102, -122.409591)"
@551973.9155642965@4182463.803026549@37.78805542@-122.40972137@_1.jpg,"(37.78805542, -122.40972137)","(37.788091, -122.410081)"
@551965.802894794@4182471.793760335@37.7881279@-122.40981293@.jpg,"(37.7881279, -122.40981293)","(37.788117, -122.409971)"
@551982.0199506837@4183201.589834112@37.79470444@-122.40957642@.jpg,"(37.79470444, -122.40957642)","(37.794735, -122.409738)"
@551973.9155642965@4182463.803026549@37.78805542@-122.40972137@.jpg,"(37.78805542, -122.40972137)","(37.787736, -122.410009)"
@551973.9155642965@4182463.803026549@37.78805542@-122.40972137@_3.jpg,"(37.78805542, -122.40972137)","(37.78817, -122.409572)"
@551977.397769442@4183401.7607128103@37.79650879@-122.40961456@.jpg,"(37.79650879, -122.40961456)","(37.796597, -122.409629)"
@551973.9155642965@4182463.803026549@37.78805542@-122.40972137@_2.jpg,"(37.78805542, -122.40972137)","(37.788198, -122.410104)"
@551972.3605062568@4182710.1277267267@37.79027557@-122.40972137@.jpg,"(37.79027557, -122.40972137)","(37.79002, -122.40989)"
@551965.8737164907@4182354.1286360607@37.78706741@-122.40982056@.jpg,"(37.78706741, -122.40982056)","(37.787167, -122.409635)"
@551982.6783541196@4183203.7098869924@37.79472351@-122.40956879@.jpg,"(37.79472351, -122.40956879)","(37.794753, -122.40962)"
@551984.7754388251@4183403.500467954@37.79652405@-122.40953064@.jpg,"(37.79652405, -122.40953064)","(37.796552, -122.409697)"
@551996.735342476@4182679.8081240663@37.79000092@-122.40944672@.jpg,"(37.79000092, -122.40944672)","(37.790054, -122.409398)"
@551973.333096488@4182556.068682799@37.78888702@-122.40972137@_2.jpg,"(37.78888702, -122.40972137)","(37.786054, -122.413031)"
@551996.735342476@4182679.8081240663@37.79000092@-122.40944672@_1.jpg,"(37.79000092, -122.40944672)","(37.790094, -122.40931)"
@551997.515918625@4182556.2213845197@37.78888702@-122.40944672@.jpg,"(37.78888702, -122.40944672)","(37.789142, -122.40928)"
@551997.515918625@4182556.2213845197@37.78888702@-122.40944672@_1.jpg,"(37.78888702, -122.40944672)","(37.789096, -122.409637)"
@551996.735342476@4182679.8081240663@37.79000092@-122.40944672@_2.jpg,"(37.79000092, -122.40944672)","(37.790066, -122.409532)"
@551996.5428758143@4182710.280430362@37.79027557@-122.40944672@.jpg,"(37.79027557, -122.40944672)","(37.790156, -122.408922)"
@551998.0986574759@4182463.955727123@37.78805542@-122.40944672@_2.jpg,"(37.78805542, -122.40944672)","(37.788193, -122.409393)"
@551998.0986574759@4182463.955727123@37.78805542@-122.40944672@_3.jpg,"(37.78805542, -122.40944672)","(37.78817, -122.409572)"
@552002.1180788751@4182359.4369512415@37.78711319@-122.40940857@.jpg,"(37.78711319, -122.40940857)","(37.787222, -122.409192)"
@551998.0986574759@4182463.955727123@37.78805542@-122.40944672@.jpg,"(37.78805542, -122.40944672)","(37.788187, -122.409438)"
@551998.0986574759@4182463.955727123@37.78805542@-122.40944672@_1.jpg,"(37.78805542, -122.40944672)","(37.788216, -122.409215)"
@552018.888341114@4182257.114633241@37.78619003@-122.40922546@.jpg,"(37.78619003, -122.40922546)","(37.785824, -122.409623)"
@551999.6267547639@4182434.7611814365@37.78779221@-122.40943146@.jpg,"(37.78779221, -122.40943146)","(37.788176, -122.409527)"
@552007.3464771161@4182488.9865535614@37.78828049@-122.4093399@.jpg,"(37.78828049, -122.4093399)","(37.79182, -122.422737)"
@552021.5904907011@4182679.965149136@37.79000092@-122.40916443@.jpg,"(37.79000092, -122.40916443)","(37.790156, -122.408922)"
@552028.3876507345@4183517.631654905@37.7975502@-122.4090271@.jpg,"(37.7975502, -122.4090271)","(37.797605, -122.40892)"
@552021.613476507@4182463.6815414065@37.78805161@-122.40917969@.jpg,"(37.78805161, -122.40917969)","(37.790713, -122.40443)"
@552022.3714400096@4182556.3784080115@37.78888702@-122.40916443@.jpg,"(37.78888702, -122.40916443)","(37.78916, -122.409144)"
@552022.9544574424@4182464.1127494345@37.78805542@-122.40916443@.jpg,"(37.78805542, -122.40916443)","(37.78821, -122.409259)"
@552022.9544574424@4182464.1127494345@37.78805542@-122.40916443@_1.jpg,"(37.78805542, -122.40916443)","(37.788216, -122.409215)"
@552026.2967892402@4183210.7581124366@37.79478455@-122.40907288@.jpg,"(37.79478455, -122.40907288)","(37.794807, -122.409155)"
@552044.3613502556@4183328.5369508136@37.79584503@-122.40885925@.jpg,"(37.79584503, -122.40885925)","(37.795731, -122.408944)"
@552019.5601839785@4182257.118877921@37.78619003@-122.40921783@.jpg,"(37.78619003, -122.40921783)","(37.786215, -122.409702)"
@552045.5811826779@4182710.5903090844@37.79027557@-122.40888977@.jpg,"(37.79027557, -122.40888977)","(37.790088, -122.408829)"
@552045.7738308726@4182680.1180020184@37.79000092@-122.40888977@.jpg,"(37.79000092, -122.40888977)","(37.790015, -122.408816)"
@552045.7738308726@4182680.1180020184@37.79000092@-122.40888977@_4.jpg,"(37.79000092, -122.40888977)","(37.790184, -122.408698)"
@552046.5551432543@4182556.5312593556@37.78888702@-122.40888977@.jpg,"(37.78888702, -122.40888977)","(37.792329, -122.406831)"
@552045.7738308726@4182680.1180020184@37.79000092@-122.40888977@_3.jpg,"(37.79000092, -122.40888977)","(37.790214, -122.408426)"
@552045.7738308726@4182680.1180020184@37.79000092@-122.40888977@_2.jpg,"(37.79000092, -122.40888977)","(37.790189, -122.408653)"
@552049.0891988396@4182261.961123405@37.78623199@-122.40888214@.jpg,"(37.78623199, -122.40888214)","(37.786316, -122.408888)"
@552046.5551432543@4182556.5312593556@37.78888702@-122.40888977@_1.jpg,"(37.78888702, -122.40888977)","(37.789201, -122.408833)"
@552046.5551432543@4182556.5312593556@37.78888702@-122.40888977@_2.jpg,"(37.78888702, -122.40888977)","(37.789319, -122.408672)"
@552050.2859646119@4182391.4852583813@37.78739929@-122.40885925@.jpg,"(37.78739929, -122.40885925)","(37.787244, -122.409016)"
@552063.7202422257@4183241.4682939583@37.7950592@-122.40864563@.jpg,"(37.7950592, -122.40864563)","(37.794871, -122.408651)"
@552046.9431126849@4182495.1617240505@37.78833389@-122.40888977@.jpg,"(37.78833389, -122.40888977)","(37.788277, -122.408727)"
@552051.7602734268@4183539.3655769606@37.79774475@-122.40876007@.jpg,"(37.79774475, -122.40876007)","(37.79764, -122.408752)"
@552066.0000690036@4183412.055851352@37.79659653@-122.40860748@.jpg,"(37.79659653, -122.40860748)","(37.796719, -122.408561)"
@552067.9097452249@4182472.8616180187@37.78813171@-122.40865326@.jpg,"(37.78813171, -122.40865326)","(37.788233, -122.408433)"
@552069.957171345@4182680.270925949@37.79000092@-122.40861511@.jpg,"(37.79000092, -122.40861511)","(37.790214, -122.408426)"
@552069.7644336272@4182710.743233392@37.79027557@-122.40861511@_1.jpg,"(37.79027557, -122.40861511)","(37.790245, -122.408155)"
@552070.3480115407@4182618.4775509504@37.78944397@-122.40861511@.jpg,"(37.78944397, -122.40861511)","(37.789267, -122.408299)"
@552070.5434262787@4182587.581420373@37.7891655@-122.40861511@.jpg,"(37.7891655, -122.40861511)","(37.789234, -122.408565)"
@552070.3480115407@4182618.4775509504@37.78944397@-122.40861511@_2.jpg,"(37.78944397, -122.40861511)","(37.789146, -122.408624)"
@552069.7644336272@4182710.743233392@37.79027557@-122.40861511@.jpg,"(37.79027557, -122.40861511)","(37.790219, -122.408381)"
@552070.5434262787@4182587.581420373@37.7891655@-122.40861511@_2.jpg,"(37.7891655, -122.40861511)","(37.789319, -122.408672)"
@552069.5690069523@4182741.64047924@37.79055405@-122.40861511@.jpg,"(37.79055405, -122.40861511)","(37.790189, -122.408653)"
@552070.3480115407@4182618.4775509504@37.78944397@-122.40861511@_1.jpg,"(37.78944397, -122.40861511)","(37.789239, -122.40852)"
@552070.5434262787@4182587.581420373@37.7891655@-122.40861511@_1.jpg,"(37.7891655, -122.40861511)","(37.787089, -122.410253)"
@552071.1269965188@4182495.3146456773@37.78833389@-122.40861511@.jpg,"(37.78833389, -122.40861511)","(37.788168, -122.408436)"
@552070.7388468@4182556.6841817475@37.78888702@-122.40861511@.jpg,"(37.78888702, -122.40861511)","(37.788715, -122.408529)"
@552071.1269965188@4182495.3146456773@37.78833389@-122.40861511@_1.jpg,"(37.78833389, -122.40861511)","(37.788268, -122.408441)"
@552070.0483495058@4182453.4060454667@37.78795624@-122.40863037@.jpg,"(37.78795624, -122.40863037)","(37.788271, -122.408771)"
@552094.8123205043@4182680.4281721087@37.79000092@-122.40833282@_1.jpg,"(37.79000092, -122.40833282)","(37.790256, -122.408066)"
@552091.3717900686@4183330.104767135@37.79585648@-122.4083252@.jpg,"(37.79585648, -122.4083252)","(37.795819, -122.40828)"
@552094.8123205043@4182680.4281721087@37.79000092@-122.40833282@.jpg,"(37.79000092, -122.40833282)","(37.790267, -122.407977)"
@552095.9827041342@4182495.4718894707@37.78833389@-122.40833282@.jpg,"(37.78833389, -122.40833282)","(37.788233, -122.408433)"
@552095.3988553069@4182587.7386653465@37.7891655@-122.40833282@_1.jpg,"(37.7891655, -122.40833282)","(37.789278, -122.408211)"
@552095.3988553069@4182587.7386653465@37.7891655@-122.40833282@.jpg,"(37.7891655, -122.40833282)","(37.789234, -122.408565)"
@552095.9827041342@4182495.4718894707@37.78833389@-122.40833282@_2.jpg,"(37.78833389, -122.40833282)","(37.78844, -122.408482)"
@552095.9827041342@4182495.4718894707@37.78833389@-122.40833282@_1.jpg,"(37.78833389, -122.40833282)","(37.78844, -122.408482)"
@552095.9827041342@4182495.4718894707@37.78833389@-122.40833282@_3.jpg,"(37.78833389, -122.40833282)","(37.78826, -122.408859)"
@552095.9827041342@4182495.4718894707@37.78833389@-122.40833282@_4.jpg,"(37.78833389, -122.40833282)","(37.787305, -122.40856)"
@552096.1782072382@4182464.575764272@37.78805542@-122.40833282@_1.jpg,"(37.78805542, -122.40833282)","(37.788339, -122.408375)"
@552107.419416056@4182386.7682906464@37.78735352@-122.40821075@.jpg,"(37.78735352, -122.40821075)","(37.787329, -122.40835)"
@552102.8496987276@4183320.8650358883@37.79577255@-122.4081955@.jpg,"(37.79577255, -122.4081955)","(37.795824, -122.408235)"
@552104.046957334@4183556.2030876493@37.79789352@-122.40816498@.jpg,"(37.79789352, -122.40816498)","(37.797718, -122.407804)"
@552110.7884135051@4182385.096455571@37.78733826@-122.40817261@.jpg,"(37.78733826, -122.40817261)","(37.794752, -122.402747)"
@552096.1782072382@4182464.575764272@37.78805542@-122.40833282@.jpg,"(37.78805542, -122.40833282)","(37.792845, -122.402758)"
@552118.8018618575@4182711.0535427444@37.79027557@-122.40805817@.jpg,"(37.79027557, -122.40805817)","(37.790272, -122.407933)"
@552110.8601770037@4182479.905995019@37.78819275@-122.40816498@.jpg,"(37.78819275, -122.40816498)","(37.788349, -122.408285)"
@552095.203347281@4182618.6347963195@37.78944397@-122.40833282@.jpg,"(37.78944397, -122.40833282)","(37.790219, -122.408381)"
@552115.4114704963@4182291.5859590983@37.78649521@-122.40812683@.jpg,"(37.78649521, -122.40812683)","(37.786448, -122.407815)"
@552116.3017771402@4183424.22522951@37.79670334@-122.40803528@.jpg,"(37.79670334, -122.40803528)","(37.796745, -122.408071)"
@552118.8018618575@4182711.0535427444@37.79027557@-122.40805817@_1.jpg,"(37.79027557, -122.40805817)","(37.790261, -122.408021)"
@552118.0097847612@4182411.8066300615@37.78757858@-122.40808868@.jpg,"(37.78757858, -122.40808868)","(37.787381, -122.408029)"
@552119.3859894129@4182618.7878579726@37.78944397@-122.40805817@.jpg,"(37.78944397, -122.40805817)","(37.794056, -122.396528)"
@552119.3859894129@4182618.7878579726@37.78944397@-122.40805817@_1.jpg,"(37.78944397, -122.40805817)","(37.793902, -122.396483)"
